Гистон,Белок хроматина,Класс белка хроматина
H2AC8,SYCE1,[]
H2AC8,RRS1,[]
H2AC8,ENO1,['TF']
H2AC8,RNF168,"['PTM writers', 'DNA repair']"
H2AC8,UBE2B,"['Replication associated', 'DNA repair']"
H2AC8,MTNR1A,[]
H2AC8,TERF2IP,"['TF', 'Replication associated', 'Compartment: telomeric']"
H2AC8,RNF2,"['PTM writers', 'TF', 'Transcription associated']"
H2AC8,APPBP2,['Cytoskeleton']
H2AC8,UBA52,[]
H2AC8,HMGN2,"['TF', 'HMG']"
H2AC6,SYCE1,[]
H2AC6,RRS1,[]
H2AC6,ENO1,['TF']
H2AC6,RNF168,"['PTM writers', 'DNA repair']"
H2AC6,UBE2B,"['Replication associated', 'DNA repair']"
H2AC6,TERF2IP,"['TF', 'Replication associated', 'Compartment: telomeric']"
H2AC6,RNF2,"['PTM writers', 'TF', 'Transcription associated']"
H2AC6,APPBP2,['Cytoskeleton']
H2AC6,UBA52,[]
H2AC6,HMGN2,"['TF', 'HMG']"
H2AC14,SYCE1,[]
H2AC14,RRS1,[]
H2AC14,ENO1,['TF']
H2AC14,RNF168,"['PTM writers', 'DNA repair']"
H2AC14,UBE2B,"['Replication associated', 'DNA repair']"
H2AC14,MTNR1A,[]
H2AC14,TERF2IP,"['TF', 'Replication associated', 'Compartment: telomeric']"
H2AC14,RNF2,"['PTM writers', 'TF', 'Transcription associated']"
H2AC14,APPBP2,['Cytoskeleton']
H2AC14,UBA52,[]
H2AC14,HMGN2,"['TF', 'HMG']"
H2AC15,SYCE1,[]
H2AC15,RRS1,[]
H2AC15,ENO1,['TF']
H2AC15,RNF168,"['PTM writers', 'DNA repair']"
H2AC15,UBE2B,"['Replication associated', 'DNA repair']"
H2AC15,MTNR1A,[]
H2AC15,TERF2IP,"['TF', 'Replication associated', 'Compartment: telomeric']"
H2AC15,RNF2,"['PTM writers', 'TF', 'Transcription associated']"
H2AC15,UBA52,[]
H2AC15,HMGN2,"['TF', 'HMG']"
H2AC20,SYCE1,[]
H2AC20,RRS1,[]
H2AC20,ENO1,['TF']
H2AC20,RNF168,"['PTM writers', 'DNA repair']"
