,H3-H4-1 angle,DNA H3-H4-1 angle,DNA H3-H4-1 torsion
0.0,140.78860583885924,131.66716256926415,-6.618266671755396
1000.0,139.12644997565016,125.19808583075832,-23.39003922625827
2000.0,142.46447359849284,129.06450404614006,-4.975623074863906
3000.0,141.83183807532802,127.12905931087396,-25.338237808483026
4000.0,139.57993659755448,129.25673458490567,1.4847122084801425
5000.0,138.98645292953682,129.88840830252744,-12.573579240057914
6000.0,138.21913828179092,125.62460679678682,-15.162181220776642
7000.0,138.89108102947083,127.62837526840545,-13.88867217611221
8000.0,139.84187730708695,125.98300736371644,-3.8058297602986935
9000.0,139.63161055924732,120.90649234389426,-11.890981406252326
10000.0,140.66369277873986,121.6502079887118,-13.579882064193372
11000.0,142.05354304177777,122.78859302290346,-14.608961641422455
12000.0,139.1739574274299,125.93750960562745,-23.272228529450675
13000.0,138.26710688837366,128.83787193263984,-14.312956569926916
14000.0,139.21091135629692,116.32581805117204,-19.442214563778354
15000.0,140.5859342783981,116.04284323667824,0.20412910208124682
16000.0,141.74181192281128,121.03372259578579,-28.71027356779972
17000.0,142.02195228034032,121.11442317638398,-31.082670609182827
18000.0,141.28385313218305,118.95084721739195,-37.03197103453273
19000.0,140.23530523069675,117.75191119585746,-18.487589905801666
20000.0,140.1680147307217,118.8439171877542,-20.199580695555394
21000.0,141.4434282000695,122.72693155035199,-15.274796859269983
22000.0,139.42756801436084,121.15682513355293,-35.55159066447674
23000.0,139.798038170697,121.45669039521117,-28.918829428184722
24000.0,138.45238476514473,122.76943014919189,-25.957107791704967
25000.0,141.31588653084702,124.51197492017913,-33.24078842407481
26000.0,138.0489137504718,124.63997243493478,-7.261884682910583
27000.0,142.3466631430155,120.5869956704577,-25.093088179537432
28000.0,140.10754692512944,120.07170662918948,0.3934850627423545
29000.0,138.98456941351475,120.43256715371665,-12.43560237156677
30000.0,136.89211242307144,119.03963621830563,-6.514587983229514
31000.0,140.60760208413265,124.24984613542546,-6.932887371151032
32000.0,140.84092336300614,120.27398979855441,-10.173013740561357
33000.0,139.17090916215332,117.72524258089554,-15.405397101881077
34000.0,140.28519332136958,122.29543710026478,-8.13956679624475
35000.0,139.2610690494567,118.36376629521374,-11.491580353228985
36000.0,138.5227903301203,118.30036865094904,-0.21017554199393276
37000.0,140.39161801532507,121.96264284471884,-5.61064898391568
38000.0,138.8974822881836,124.43502598452024,-10.1519235303843
39000.0,141.01617883033686,120.35085088254145,-4.916429344607169
40000.0,137.95486614086866,118.57249461043004,-23.45854995679662
41000.0,139.34698795772564,117.3224351316165,5.814545938999264
42000.0,140.0295836466775,123.56100789415078,-19.08853296164358
43000.0,139.8681997143106,124.56501940988632,-13.74358023562299
44000.0,141.23669887342172,119.23160477004572,-10.230339084753142
45000.0,138.0544374099272,123.05089269146744,-9.647082497183606
46000.0,139.48738208120523,125.97620832635478,-18.257758885972077
47000.0,139.10105734339749,123.77481581505567,-11.826735677933565
48000.0,140.90278016762963,125.68001166605418,-27.915089244922545
49000.0,140.90909660930987,129.90135263165288,-34.38787334082956
50000.0,138.91530508619613,126.86983844550082,-4.231399999925764
51000.0,139.58497671577936,129.3680378528657,-22.95105213371851
52000.0,142.30500049347842,127.22408964018898,-16.63886709682997
53000.0,140.95722929785128,122.32804614015889,-6.401228865442559
54000.0,142.44263992579852,125.52133100879749,-37.06864415154478
55000.0,141.9558956175309,126.99882331206192,-22.151690148850545
56000.0,142.63856453161938,124.7821473821501,-24.24631258873991
57000.0,141.60827792033277,127.35788275154607,-34.646577677986244
58000.0,137.79739043520337,124.07304554586051,-17.76833868443602
59000.0,140.6558049955898,131.13588004678942,-27.876020028901806
60000.0,140.9167261015752,126.25064762736697,-30.313446804444354
61000.0,139.65455030830603,127.17765232053114,-14.694720988847783
62000.0,141.7790894575054,131.11386149203884,-22.559901228058816
63000.0,138.09581078065145,124.79819252565,-14.964873373705421
64000.0,139.48956864641553,126.0711945104779,-12.54962814402728
65000.0,139.65382133950695,127.41581374843864,-28.594694118383686
66000.0,139.95094260759873,129.54198947152972,-15.455979613883413
67000.0,142.2096584819351,127.09291759965834,-32.01796996469774
68000.0,139.09878120433453,128.0927264493819,-39.419513175744626
69000.0,139.23634362568149,129.67248271475256,-21.93360259844666
70000.0,139.5535478211287,125.42254139249282,-4.000240291889495
71000.0,140.68481929619736,128.53594462670537,-15.361060101893186
72000.0,139.8873332445088,125.77877934305211,-22.432852505849386
73000.0,142.61341317997494,128.2413994999052,-23.688205556895063
74000.0,139.30306105766974,125.07645766527557,-21.14495381504671
75000.0,140.27802079603703,123.6687341240569,-27.871309647620635
76000.0,139.37199679160304,123.49787645673142,-20.194323331411532
77000.0,141.7190771351714,122.55264165190012,-17.991068610553874
78000.0,138.4453019641351,121.91465302863656,-8.779677619518303
79000.0,137.81343103147148,118.93763853186852,-15.329470430867113
80000.0,139.34634678813453,120.252330311927,-9.13381177800737
81000.0,139.43697368123642,121.54068631891123,-20.58212485881046
82000.0,140.05572028142367,120.2865032469408,-30.421288067627557
83000.0,139.96062190411396,122.21249745733192,-13.53884566339561
84000.0,141.00552755706357,123.98964127738871,1.4922732674549293
85000.0,141.86560473772272,123.83540122589565,-13.33000533497667
86000.0,141.87706568816967,119.95911901317271,4.2132655349173955
87000.0,139.7393406560611,122.25171829721818,-13.642783320068775
88000.0,142.65184589982093,122.49817729286667,-14.88359173843018
89000.0,139.82160694637412,123.54175805217523,1.9584235513700652
90000.0,138.46378194285077,121.16434322786047,25.23227057828317
91000.0,142.05794864638938,120.78239184893107,-13.49928301099993
92000.0,138.49723682588916,122.64944567454081,2.7886830263388553
